計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
0,2026/07/01,ラクテンショウケンカブシキガイシャ (自動スイ-プ),244890,楽天銀行,未分類,未分類,,1,A0DypA8ehs6DfVB1NYNOaxW2eWmYgusuS3Ho4yBmjA8
0,2026/07/01,ラクテンショウケンカブシキガイシャ (投信積立代金),-50000,楽天銀行,未分類,未分類,,1,gT9N5Q2iL2-6pVbzhZoWOsyeoMGAfu3jkFfjM2B_Oic
1,2026/06/30,入 永田町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,QWJq0jocwgpeYABDFYIfwmoPJSj8tCe9kwgtmBN8FaI
1,2026/06/30,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,tkj_ckoiDnDmIOcCkARRQMA8xc8Q1yDGSlfh0OPkcI0
1,2026/06/29,入 永田町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,UWU682CVSdejiZCNyhGEI0RyvXDowu0_T3lzy3nWI3M
0,2026/06/29,現金,3000,モバイルSuica（モバイルSuica ID）,未分類,未分類,,1,V5Hd4BsAsIRVYTY9oG1M0S-kaAo0qyv2ZwAXhA8h1zs
1,2026/06/29,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,86HtbQOZQLJapaRe_bqsv8jr0OggrC31bJyzsBprjYc
0,2026/06/29,ラクテンカ-ドサ-ビス,-116444,楽天銀行,現金・カード,カード引き落とし,,1,cXNx9rTK7fY8rGi55VnvqhFxbv9McxgKcWGsIV9I6nU
1,2026/06/29,SMBC(ニツポンガス,-1485,楽天銀行,水道・光熱費,ガス・灯油代,,0,sDDICp4EjZj7d-Cb2nyA1yJUqKKPFvbSkMgImRdP7uk
1,2026/06/29,DF.ヤチントウ,-90550,楽天銀行,住宅,家賃・地代,,0,-3EjHe3P3MCOkjVSZWtDs5hoy43pbuGBLVrmH7NtOK8
1,2026/06/28,JCB国内利用 JCB チヤ-ジスポツト,-570,楽天カード,現金・カード,カード引き落とし,,0,AM0X1nZTbsH0iO4v0p8I34sZV7BxztpCTmwlJ78-sqA
1,2026/06/28,入 溝の口 出 後楽園,-459,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,m-hWReR8YvEvXMDfAjx22CgYraWFwiyCMDk6oVtSfE0
1,2026/06/28,"株式会社 SBI証券 ,,,,,",-1000000,楽天銀行,未分類,未分類,,0,4VFTd8beh6Nrbk1XXea8kFQe62fpCnjfPV-bo-F7grU
1,2026/06/27,入 後楽園 出 溝の口,-459,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,jLLpJAqfFertukBNQ9iNAOzGDu_AaektysFw68sjQL4
1,2026/06/27,ラクテンEDYオンライン,-10000,楽天銀行,現金・カード,電子マネー,,0,WjT6biq7fIomY5TuqHpfHoVWHdmcAUgCFq1f-voS1q8
1,2026/06/27,ラクテンEDYオンライン,-40000,楽天銀行,現金・カード,電子マネー,,0,FjB2Fiqj_5mopqKEVTg6Jr5r_yg6JP5pZf_JEp0SfzA
1,2026/06/27,ミタ リヨウイチロウ,42000,楽天銀行,未分類,未分類,,0,KcAnSg9RguwYXtk5wMTTByp4ejXbCivz81amSTOn1K0
0,2026/06/27,ラクテンショウケンカブシキガイシャ (国内株式買付代金),-1449890,楽天銀行,未分類,未分類,,1,urJ9bcEqIV2xPlxv1vq1SVdUM025W-kYTjmPqFVR9Z0
1,2026/06/26,物販,-376,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,INA1aZQvDIf-OBmCszzaw3JGHxZ81K5vwXHam4K_JVU
1,2026/06/26,入 永田町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,blGIin0_baYNxS8iQ3lvU_Ytv32lXCd8AZXtoO-SEa8
1,2026/06/26,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,HWdbzlOUWS645y4ZqU8MpWSyRFr_HP5rAHE2sHuGdes
1,2026/06/25,JCB国内利用 JCB ウイズ,-4260,楽天カード,日用品,日用品,,0,EJ7kB2_HRUEm0dTe-e0vhxZ-PlkQUb06DwmcQW3Xlzo
1,2026/06/25,JCB国内利用 JCB イ-プラス,-4330,楽天カード,趣味・娯楽,映画・音楽・ゲーム,,0,jVoxoar6ns-nm5M2xsoq4V6uH36ZSN6cvHCPIjhdtz4
1,2026/06/25,物販,-342,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,mcrEVSfa-WhijQqR3NmvSKsdwaiCNE5-lol4kav-QAs
1,2026/06/25,給与 SBAW(カ)LINEヤフ-.カ,349640,楽天銀行,収入,給与,,0,CSRIA4gSwOv7H8f-Q_nSoP7o_m9Mi953IP8Pyb0QaF4
1,2026/06/24,入 溜池山王 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,nyZmBFgTNNX6MlgxIA-UmGjpEBj7M9tvVHBePefEloo
1,2026/06/24,*入 溝の口 出 永田町,-428,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,oeZ8bZdy_aPJz_dWIv1EygZOR17F4ubF7vwtuaybPh4
1,2026/06/24,入 津田山 出 武溝ノ口,-155,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,r9FuSW3PEmghm4TQaJhvoUgwEi5yRY2oEw49Veuc7zk
1,2026/06/24,入 武溝ノ口 出 津田山,-155,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,xPVqWb2eY0A6CXkEcr1f1-sMGzQiRjkanmXlUn8lonw
0,2026/06/24,現金,3000,モバイルSuica（モバイルSuica ID）,未分類,未分類,,1,x3-gUgPQ1LgmcZ_C695LgywcEBrMeze8mBe4xt2valU
1,2026/06/24,入 後楽園 出 溝の口,-459,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,BEET9X-iyMDSUyQsqeiCeSRnEBM0Vn1a7AyZxoRaQlA
1,2026/06/23,入 永田町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,ZOOqX_eJ_bEUgGPSXm6X1ecSGHKx1oA92pl_J2PVlLo
1,2026/06/23,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,_gerqlQn67Sfk6QyiR0MQjyR72-zOD3a2zHPQ9LdFBg
1,2026/06/22,JCB国内利用 JCB アマゾン マ-ケツト プレイ,-2530,楽天カード,現金・カード,カード引き落とし,,0,mFyeA_SCOpQrvgrgBxeQwjdWVi3_NbGx-oJvTKkoOTE
1,2026/06/22,入 永田町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,1GRrOxDnKBu2hWcd8-cf5ZgB5xqEDcQSgLU5khc-Aqw
1,2026/06/22,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,Iey4KVjo6lPr9W7g3MDwGHQ7LrbEHKqP8HJ4RcHtC3o
1,2026/06/21,物販,-192,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,sAIXwcqfMro5bFgoYSNBcAvk3c8h0fRmd4fCqV6nhBE
1,2026/06/20,JCB国内利用 JCB イオンフ-ドスタイル,-1109,楽天カード,日用品,日用品,,0,4RnwnvaDg-YpGkAGiiicV0akkzoERYmJzsXTf5kAKgw
1,2026/06/20,物販,-738,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,a9oNg9J3kuh1hTPoEjimZpMicFtMGiEFe2F4ibzZuXE
1,2026/06/20,入 地 東京 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,Qatkqq8d2X9A9T3HUdI5ucplz07exLJTPXC6BSRp0Vo
1,2026/06/20,入 後楽園 出 地 東京,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,SP2nJtebNkW69g664k1Z1fxQG6nVIZ4WCct3UOEO0IU
0,2026/06/19,Suicaチャージ(楽天ペイ) 703656,-3000,楽天カード,現金・カード,電子マネー,,1,JUulBXKRRj01PXb3kPUhflA-4zhaZt8fgIbpxkIJfUk
1,2026/06/19,物販,-1505,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,1WlwanryJli6q3Q_MxQJyEqMOx-e9l1WSTM3vbUjKDM
0,2026/06/19,現金,3000,モバイルSuica（モバイルSuica ID）,未分類,未分類,,1,7inZBupQ9uW3BgUu_menVGr3-myk2o5jE4axffedB0M
1,2026/06/19,入 永田町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,nEDL0c8ej04rqQmfOlI6r224CAhXbSaeajN3WH168Hc
1,2026/06/19,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,21yNkcpDXJ3e6o1pYhyHL4k_Q7bP_kJ3X_v654f-3aE
1,2026/06/18,JCB国内利用 JCB マイバスケツト,-353,楽天カード,食費,食料品,,0,vzI8kywZS1jstK_Ruy-e6wIJrBJx1x4OjysfjqWYdsw
1,2026/06/18,ラクテンEDYオンライン,-10000,楽天銀行,現金・カード,電子マネー,,0,Z0tywebvy332PBf-z600mwuxEg_TJEMtShhAP2Uny2Y
1,2026/06/17,入 地 東京 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,xjZZzI_m-JcGkFdx9TvmtnijLifBQRbCPDSeRrQKceE
1,2026/06/17,入 大井町 出 東京,-209,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,t9LborbbcHPIfn3ykKSALb3YcwrNtKtT1icf8OCiAOM
1,2026/06/17,入 臨新木場 出 臨大井町,-398,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,wMejT9H9HV8DWBdpLABT5CaJaoFYgbobVm7skb0M88g
1,2026/06/17,入 舞浜 出 新木場,-199,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,R30t7x5okdQqP6uaJ5NWfR5CpDhOXXvCbB0PIoo32QM
1,2026/06/17,入 MRCD 出 MRCA,-300,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,jqscJdxulMheeu6BSQrHGu5EjsfmNNcEiVY2pzlMI-M
1,2026/06/17,入 新木場 出 舞浜,-199,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,1QHKKX3HKCjDzR9LiLDUoJS0rby3mjx0xZ0o3zMtDDQ
1,2026/06/17,入 永田町 出 地新木場,-209,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,7rqtXylH9wU2434rja_J88A4Fl6O-bWGFneKvJ5H7YE
1,2026/06/17,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,UtDfXnibV4lMsoDvrBICptJlK18u7HBugMdFRbZVa_c
0,2026/06/16,楽天証券投信積立0.5%~,-30000,楽天カード,未分類,未分類,,1,f8oj1u-Op7qBCM_jleVsVu_lrlm2ZTxcKoZRk6aMBxU
0,2026/06/16,Suicaチャージ(楽天ペイ) 705430,-3000,楽天カード,現金・カード,電子マネー,,1,DccRZ3gKVKjvDSmD3wJsPgxyAJEuJBC5-UO5ojWWDgE
1,2026/06/16,入 永田町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,noql4l9H3ylpi_hz5FYc2hA_zcbKLuqSWssjFWf3_W0
0,2026/06/16,現金,3000,モバイルSuica（モバイルSuica ID）,未分類,未分類,,1,BW2uSOR0HKGlQO3a8GTTVMKPS4qKP-csmnzH7U2InsE
1,2026/06/16,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,NzSpvj-GN8yeuvX1ansEpy_zqtEJh7hmmy4sXcQD0oA
1,2026/06/15,物販,-150,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,PyFa9kWy1emF1rrWNVNWD-Q_FN7RckxUs-CEe_PIY3U
1,2026/06/15,入 溜池山王 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,hMWRZ585fkAq8kR7Z8lSX7AVCkRUV6mtKHV7TZFAzaM
1,2026/06/15,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,hKq6tF9g_FLGZNuUAu0wgzE-l_zOn1SnRR6FwmuB_iw
1,2026/06/15,AP(カ)ユ-パワ-,-5079,楽天銀行,未分類,未分類,,0,P6obC40BhP1YXSFFsA1j_5tX5rzN5T_ny-VAib3xV28
1,2026/06/14,JCB国内利用 JCB スマ-トイ-エツクス ジエイア,-13870,楽天カード,現金・カード,カード引き落とし,,0,FYnr3PvYJSL7keUlw66hRjNSFSRFKnUncCHCKh0kkCc
1,2026/06/14,JCB国内利用 JCB エ-エフブンキヨウカスガ,-8250,楽天カード,現金・カード,カード引き落とし,,0,286pLuxyy04Qc51dsKCzKnzRjf1AcPNtbbgPLFkdy_M
1,2026/06/14,入 地 東京 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,F_EiTwt8A_Ufx_gPGU8Or_QoEjSx9UQ4xfuiyFxkCjI
1,2026/06/14,入 JW大阪 出 JW新大阪,-180,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,YKS8qAq1gRBrU0Cz0Pg8yyIqQajH6kQAPKcHwYJQZXQ
1,2026/06/14,入 SUドーム前 出 SU梅田,-240,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,BhbtIm3La64ltORGg4u9BRqV9jTrMNym_5gOU2RnsVc
1,2026/06/14,入 SU下新庄 出 SUドーム前,-440,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,wtmEht1cYz34qXqVviJ0FiyhJ72eQWiTrHtIuForFAs
1,2026/06/13,入 SU梅田 出 SU下新庄,-200,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,AVvl0FhXS5vJmcUBe5hZ1bMz8Yhk2CdjEgNojAy8DmI
1,2026/06/13,入 JWユニバー 出 JW大阪,-200,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,dn9FELbyU6EZN34vWb4DPljgjhrRVB9JMbmUMOSMhAs
1,2026/06/13,入 JW大阪 出 JWユニバー,-200,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,kzIt2SL9hnkJMvqQNDKihSDJur26A5MxgamgY9bmprQ
1,2026/06/13,入 SU下新庄 出 SU梅田,-200,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,abxC0gIfzlrZh7zzqecFYVDJJtlh3g1RFj7eIh5XEgg
1,2026/06/12,JCB国内利用 JCB スマ-トイ-エツクス ジエイア,-13870,楽天カード,現金・カード,カード引き落とし,,0,phVA6GFCKfzJfbAwIwu0ME7VyuoHwcabYtpi_Gm07i8
1,2026/06/12,JCB国内利用 JCB トウキヨウトスイドウキヨク ス,-1232,楽天カード,水道・光熱費,水道代,,0,4i21LVJpbbqtpCGg44Rxdi1HRAgJci0ljTAgxOtdSAY
0,2026/06/12,Suicaチャージ(楽天ペイ) 701818,-3000,楽天カード,現金・カード,電子マネー,,1,77jPKSyM5qzijPIANJCUzmqw9uJmcEwWvN_aZGBIAmM
1,2026/06/12,マクドナルド モバイルオーダー 702339,-570,楽天カード,食費,外食,,0,3MppKvzzncyo1SbDqpXpzEkM8_h0zfWqyaQIpOgkg_E
1,2026/06/12,入 SU梅田 出 SU下新庄,-200,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,n-tvvgXV0feT9Ofktb9JafAmYxj1OR4_n1ciRBHfy_0
0,2026/06/12,現金,3000,モバイルSuica（モバイルSuica ID）,未分類,未分類,,1,Zu-IYczCkdq-V_eriUwARykUnklCwFrXpTnO8di6TRw
1,2026/06/12,入 SU難波 出 SU梅田,-240,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,pguD0g1ByPs-D6ONUZ8F48rZ7uetHzjuC6ZpJf4Ck6k
1,2026/06/12,入 SU梅田 出 SU心斎橋,-240,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,7N6e4KjuRVlb1wVrTQoEseIZtlZ2XZz2D25KHyQY17o
1,2026/06/12,入 SU庄内 出 SU梅田,-200,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,HGh8HLTsRC5Wz_V2Y_DKdtEIHnuxC0Son6sGcPicyiw
1,2026/06/12,入 SU梅田 出 SU庄内,-200,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,oligTICGpRN7AxgXN25kGrSQTNRRQxxZ3Upg9m7VRzA
1,2026/06/12,入 JW新大阪 出 JW大阪,-180,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,XyzsWTgzdPh4iik9cWb-nhlA25mI8yLDFNbmAxHzJ0Y
1,2026/06/12,入 後楽園 出 地 東京,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,4VZmQRIakqj0dHvjqA1cMhhJrkFyLQvTrJLFxMvmEMo
1,2026/06/11,入 永田町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,JBoq7ZhNQTl3kOrh9VNhSIB6DgrAH6LSMay16tuDcAs
1,2026/06/11,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,PTpGIJzZ2BkvACUVupu9U7tjq4_hY5u6DkuK4AdBuko
1,2026/06/10,物販,-587,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,2FcQ-gX3w0JJWZtgtfvL0XCDFNqOhuthO4JFiSphcFk
1,2026/06/10,入 永田町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,ZC0eCY1m7gzI9B2eaYOW0rUiAc9cEpJhPS5KWyis9Eg
1,2026/06/10,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,VQEoJqimoN5i15Za5X_cQrvA0rVWdQtRjhLOYdfei00
1,2026/06/09,入 溜池山王 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,IKeceS8XgoFOplzYUYloLCS0rhaL1rcjMwZW3LDJSUc
1,2026/06/09,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,lOReQH71Zet7YWfmrK6X0ZhqAE2KpxAXa3c2JyXrkQ0
1,2026/06/08,JCB国内利用 JCB タツプル,-4400,楽天カード,現金・カード,カード引き落とし,,0,iEJIduGBBW3YwkH7rS5msyDzhfe75BT1svepOHeJ9qU
1,2026/06/08,JCB国内利用 JCB マイバスケツト,-374,楽天カード,食費,食料品,,0,Dptxy7m9gT0R4md7bsYe87tXOXdUO1mYyXqhrX-4LJ0
0,2026/06/08,Suicaチャージ(楽天ペイ) 700413,-3000,楽天カード,現金・カード,電子マネー,,1,57XFp6kAfX-d0AcoAG3g1AmIPkyZknpdFOSPxCC4BnU
1,2026/06/08,入 溜池山王 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,p6KWjE2hxTBX9Y43M0MIxSdNX9NZ2tt7ZElNKGFDJtM
0,2026/06/08,現金,3000,モバイルSuica（モバイルSuica ID）,未分類,未分類,,1,On4dML6Xi_XS1esR8PMysosuRGpjdpF9ghI5RxVmYB4
1,2026/06/08,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,TbmH_cH6dn1YEULccBKbuF5NwE_HyL0xKoC8P_kGOw8
1,2026/06/07,入 都五反田 出 春日,-272,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,7vsYih-xlIVszTuOWBBHL5y6uYWo6eB4J6LRQ7l-Vb8
1,2026/06/07,入 御嶽山 出 東急五反,-180,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,WNMlEEOX_5b3mlm8BKCMOndXkuLy1sd6IaXUgM7-X7U
1,2026/06/07,*入 東急五反 出 御嶽山,-180,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,DR9TtocFJPHnKopGG4phdqToiEIaRTheGLx9MdEC31o
1,2026/06/07,入 目黒 出 五反田,-155,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,ial6aaLIfR6ITerYyz0_Ns5MRrIG0HUgZJyghCi03d0
1,2026/06/07,入 後楽園 出 地 目黒,-209,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,QgWuUMt1OBzsKVA50V7SdNsagobjQepBv1yZia1ASS0
1,2026/06/06,入 地 王子 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,mwcUBVfxIcf0egQswon16eV6-Jbs28KrNUK7hJ7DoYI
1,2026/06/06,入 後楽園 出 地 王子,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,8BfpbAItGj9werj6X7ipsmuxpwvYzTypv44F-dG4PZI
1,2026/06/05,JCB国内利用 JCB キミノハンバ-グオタベタイ,-4268,楽天カード,現金・カード,カード引き落とし,,0,3QlDRAj1cTQp5tIgrK8qfWM3rG0dnMzaT2ZgV_mRR4A
1,2026/06/05,入 地 渋谷 出 後楽園,-209,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,etZhXbSR_zXwKk4C4Qc79p54DYrGVWca1vyODSNL2tM
1,2026/06/05,入 永田町 出 地 渋谷,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,bMaP71Q5EyW5wmYEymQMvZ3r3_yoizroci087nrG6_k
1,2026/06/05,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,brOF1rq7f_MNELZ7Oe3B4eLqW3itLKMVaN_iDEpOuhg
1,2026/06/04,ジヤングリアチケツトウエブ,5610,楽天カード,未分類,未分類,,0,R2Kxhefhvnz-_Z-LcNiwiGPU6WXicryZY_TxVYYvDcY
1,2026/06/04,JCB国内利用 JCB アマゾンプライムカイヒ,-5900,楽天カード,その他,雑費,,0,00mVzU6ZoTaRY5ahprkOnlANpbAswkRrgYH4kEjGZfQ
0,2026/06/04,Suicaチャージ(楽天ペイ) 700621,-3000,楽天カード,現金・カード,電子マネー,,1,5tqjMegc0A48yEqETR-3ZUvbolGvqWmA75k20EKSeNA
1,2026/06/04,入 溝の口 出 後楽園,-459,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,bTltlX9eqVfnbR9HBxOzcPAxxGgKq7xxhdPV-TUzlyQ
1,2026/06/04,入 永田町 出 溝の口,-428,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,ue5RUlJKNWZ7AF1WRMpytARE9db_hFVXCG78txaHowA
0,2026/06/04,現金,3000,モバイルSuica（モバイルSuica ID）,未分類,未分類,,1,mqD4nnCpWcHCZ6F6AVW8xSElI4WTLghSp-gTs86R3XA
1,2026/06/04,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,i37ZZzM7zYizFN-pJrtcJiFsted2hOdiFqV0WkKZADQ
1,2026/06/03,JCB国内利用 JCB イオンフ-ドスタイル,-902,楽天カード,日用品,日用品,,0,6azJMXJIHh-2xpnPe7IkEo2GVbcb5mrpaD2kKdPN0vQ
